Super Maison Pokemon

# | Pokemon | Nature | Item | Move | Move | Move | Move | EV Spread
0 | Barbaracle1 | Adamant | BrightPowder | Stone Edge | Razor Shell | Shell Smash | Double Team | Atk/Spd
372 | Togekiss1 | Calm | Sitrus Berry | Encore | Follow Me | Reflect | Dazzling Gleam | HP/SpD
373 | Volcarona1 | Modest | Power Herb | Fire Spin | Heat Wave | SolarBeam | Whirlwind | HP/Spd
374 | Arcanine1 | Modest | Charcoal | Flamethrower | SolarBeam | Incinerate | Sunny Day | Spd/SpA
375 | Archeops1 | Jolly | Sitrus Berry | Quick Attack | Acrobatics | Crunch | U-turn | Atk/Spd
376 | Dragonite1 | Impish | Custap Berry | Toxic | Thunder Wave | Roost | Rock Slide | HP/Def/SpD
377 | Tyranitar1 | Impish | Iron Ball | Rock Slide | Stealth Rock | Thunder Wave | Fling | HP/SpD
378 | Salamence1 | Naughty | Yache Berry | Roost | Scary Face | Dragon Tail | Earthquake | Atk/Def/SpD
379 | Metagross1 | Naive | Occa Berry | Meteor Mash | Magnet Rise | Zen Headbutt | Agility | Atk/Spd
380 | Garchomp1 | Jolly | Lax Incense | Earthquake | Protect | Sandstorm | Sand Tomb | HP/Spd
381 | Hydreigon1 | Rash | Dragon Fang | Dragon Pulse | Earth Power | Surf | Dragon Tail | Atk/Spd
382 | Slaking1 | Naive | Chople Berry | Earthquake | Brick Break | Rock Slide | Encore | Atk/Spd
383 | Venusaur2 | Brave | Miracle Seed | Roar | Venoshock | Power Whip | Earthquake | HP/Atk/Def
384 | Charizard2 | Adamant | Charti Berry | Dragon Claw | Shadow Claw | Rock Slide | Dragon Dance | Atk/Spd
385 | Blastoise2 | Quiet | Zoom Lens | Hydro Pump | Ice Beam | Mist | Focus Blast | HP/SpA
386 | Meganium2 | Bold | Chesto Berry | Double Team | Petal Blizzard | Substitute | Rest | HP/Def
387 | Typhlosion2 | Naive | Wide Lens | Inferno | Focus Blast | Extrasensory | Will-O-Wisp | Spd/SpA
388 | Feraligatr2 | Adamant | Liechi Berry | Superpower | Aqua Tail | Ice Fang | Dragon Dance | HP/Atk/Spd
389 | Sceptile2 | Hasty | Scope Lens | Leaf Blade | Night Slash | Earthquake | Swords Dance | Atk/Spd
390 | Blaziken2 | Adamant | Salac Berry | Blaze Kick | Flame Charge | Endure | Reversal | HP/Atk/Spd
391 | Swampert2 | Careful | Chesto Berry | Waterfall | Hammer Arm | Rest | Curse | HP/SpD
392 | Torterra2 | Jolly | Choice Scarf | Rock Slide | Earthquake | Wood Hammer | Tickle | Atk/Spd
393 | Infernape2 | Mild | Charcoal | Heat Wave | Will-O-Wisp | Grass Knot | Calm Mind | HP/Spd/SpA
394 | Empoleon2 | Lonely | Muscle Band | Drill Peck | Aqua Jet | Metal Claw | FeatherDance | HP/Atk/SpD
395 | Serperior2 | Sassy | Sitrus Berry | Leaf Tornado | Hidden Power | Mirror Coat | Captivate | HP/SpA/SpD
396 | Emboar2 | Brave | Quick Claw | Yawn | Wild Charge | Bulldoze | Heat Crash | Atk/Def/SpD
397 | Samurott2 | Quiet | Zoom Lens | Blizzard | Giga Impact | Detect | Hydro Pump | Atk/SpA
398 | Dugtrio2 | Lonely | Choice Band | Protect | Final Gambit | Earthquake | Rock Slide | HP/Spd
399 | Marowak2 | Brave | Iron Ball | Earthquake | Fling | Brick Break | Detect | HP/Atk
400 | Medicham2 | Timid | TwistedSpoon | Psychic | Shadow Ball | Energy Ball | Calm Mind | Spd/SpA
401 | Quagsire2 | Impish | Iron Ball | Earthquake | Stockpile | Fling | Swallow | HP/Def/SpD
402 | Granbull2 | Modest | Wise Glasses | Snarl | Thunderbolt | Dazzling Gleam | Sludge Bomb | Def/SpA
403 | Jynx2 | Adamant | Destiny Knot | Ice Punch | Fake Out | Heart Stamp | Taunt | Atk/Spd
404 | Mr. Mime2 | Brave | Jaboca Berry | Payback | Wide Guard | Confide | Fake Out | Atk/SpD
405 | Lanturn2 | Calm | Sitrus Berry | Thunder Wave | Charge Beam | Stockpile | Swallow | Def/SpA
406 | Breloom2 | Jolly | Toxic Orb | Substitute | Seed Bomb | Wake-Up Slap | Spore | Atk/Spd
407 | Forretress2 | Naughty | Sitrus Berry | Spikes | Earthquake | Magnet Rise | Gyro Ball | HP/Atk
408 | Skarmory2 | Naughty | Cell Battery | Brave Bird | Steel Wing | Swords Dance | Roar | HP/Spd
409 | Absol2 | Adamant | Chople Berry | Sucker Punch | Magic Coat | Psycho Cut | Taunt | HP/Atk
410 | Whiscash2 | Adamant | Soft Sand | Aqua Tail | Earthquake | Zen Headbutt | Dragon Dance | HP/Atk/Def
411 | Hariyama2 | Careful | Custap Berry | Reversal | Bullet Punch | Protect | Belly Drum | Def/SpD
412 | Vespiquen2 | Quiet | Insect Plate | Attack Order | Power Gem | Captivate | Confuse Ray | HP/SpA
413 | Raichu2 | Jolly | Magnet | Brick Break | Electro Ball | Fake Out | Protect | Atk/Spd
414 | Dewgong2 | Rash | NeverMeltIce | Ice Shard | Signal Beam | Ice Beam | Encore | Spd/SpA
415 | Manectric2 | Modest | Charcoal | Flamethrower | Overheat | Discharge | Charge | Spd/SpA
416 | Staraptor2 | Adamant | Choice Scarf | Pursuit | Close Combat | Roost | Final Gambit | HP/Spd
417 | Gastrodon2 | Careful | Rindo Berry | Waterfall | Amnesia | Curse | Yawn | Atk/Def/SpD
418 | Skuntank2 | Adamant | Poison Barb | Pursuit | Foul Play | Poison Jab | Taunt | Atk/Spd
419 | Sawk2 | Naughty | Focus Sash | Earthquake | Payback | Endure | Reversal | Atk/Spd
420 | Throh2 | Brave | Expert Belt | Revenge | Storm Throw | Protect | Seismic Toss | Atk/Def
421 | Unfezant2 | Jolly | Power Herb | Giga Impact | Quick Attack | Hypnosis | Sky Attack | Atk/Spd
422 | Vileplume2 | Modest | Power Herb | SolarBeam | Sludge Bomb | Synthesis | Double Team | HP/SpA
423 | Victreebel2 | Rash | Safety Goggles | Leaf Storm | Sleep Powder | Stockpile | Encore | Spd/SpA
424 | Electrode2 | Hasty | Focus Sash | Electro Ball | Taunt | Protect | Explosion | Atk/Spd
425 | Ludicolo2 | Naughty | Tanga Berry | Fake Out | Grass Knot | Surf | Tickle | HP/Atk/SpA
426 | Shiftry2 | Rash | Miracle Seed | Fake Out | Extrasensory | SolarBeam | Swagger | Spd/SpA
427 | Exploud2 | Lonely | Chople Berry | Crunch | Fake Tears | Ice Beam | Giga Impact | Atk/SpA
428 | Lopunny2 | Jolly | Liechi Berry | Charm | Focus Punch | Substitute | ThunderPunch | Atk/Spd
429 | Froslass2 | Lonely | Kasib Berry | Ice Shard | Thunder Wave | Hex | Taunt | Atk/Spd
430 | Lilligant2 | Bold | Big Root | Ingrain | Leech Seed | Toxic | Protect | HP/Def/SpD
431 | Darmanitan2 | Calm | Luminous Moss | Psychic | Heat Wave | Round | Confide | HP/SpD
432 | Ambipom2 | Timid | Focus Sash | Grass Knot | Thunderbolt | Nasty Plot | Counter | Spd/SpA
433 | Cofagrigus2 | Quiet | Spell Tag | Shadow Ball | Energy Ball | Will-O-Wisp | Nasty Plot | HP/SpA
434 | Golurk2 | Brave | Wide Lens | Hammer Arm | Rock Slide | Curse | Gyro Ball | Atk/SpD
435 | Durant2 | Impish | Power Herb | Dig | Iron Defense | Agility | Baton Pass | Def/Spd
436 | Golem2 | Naughty | Absorb Bulb | Rock Slide | Earthquake | Bulldoze | Autotomize | Atk/Spd
437 | Slowbro2 | Modest | Quick Claw | Flamethrower | Ice Beam | Slack Off | Water Pulse | Def/SpA
438 | Weezing2 | Rash | Safety Goggles | Sludge Bomb | Fire Blast | Stockpile | Swallow | HP/SpA
439 | Kangaskhan2 | Jolly | Salac Berry | Rock Slide | Sucker Punch | Endure | Reversal | Atk/Spd
440 | Tauros2 | Jolly | Expert Belt | Zen Headbutt | Wild Charge | Swagger | Giga Impact | Atk/Spd
441 | Spiritomb2 | Brave | Quick Claw | Shadow Sneak | Sucker Punch | Will-O-Wisp | Taunt | HP/Atk
442 | Cryogonal2 | Hasty | Occa Berry | Ice Shard | Slash | Poison Jab | Haze | Atk/Spd
443 | Druddigon2 | Lonely | Scope Lens | Dragon Claw | Night Slash | Slash | Hone Claws | HP/Def/SpD
444 | Musharna2 | Bold | Lum Berry | Shadow Ball | Energy Ball | Psychic | Trick Room | Def/SpA
445 | Scrafty2 | Jolly | Coba Berry | Hi Jump Kick | Rock Slide | Taunt | Dragon Dance | HP/Spd
446 | Ferrothorn2 | Careful | Chesto Berry | Rest | Payback | Gyro Ball | Curse | HP/SpD
447 | Alakazam2 | Timid | Focus Sash | Psych Up | Encore | Protect | Psychic | Spd/SpA
448 | Slowking2 | Gentle | Kings Rock | Zen Headbutt | Earthquake | Swagger | Psych Up | Atk/SpD
449 | Miltank2 | Naive | Razor Fang | Body Slam | Fling | Brick Break | Captivate | Atk/Spd
450 | Altaria2 | Lonely | Snowball | Dragon Claw | Pluck | Steel Wing | Dragon Dance | Atk/Spd
451 | Toxicroak2 | Modest | Petaya Berry | Focus Blast | Sludge Bomb | Substitute | Protect | Spd/SpA
452 | Gothitelle2 | Modest | TwistedSpoon | Psyshock | Miracle Eye | Mirror Coat | Tickle | HP/Def/SpA
453 | Reuniclus2 | Brave | Kings Rock | Rock Slide | Explosion | Gyro Ball | Trick Room | Atk/Def/SpD
454 | Bisharp2 | Adamant | Chople Berry | Aerial Ace | Low Sweep | Iron Head | Scary Face | HP/Atk
455 | Abomasnow2 | Lonely | Miracle Seed | Wood Hammer | Brick Break | Double Team | Blizzard | HP/Atk/SpA
456 | Nidoqueen2 | Mild | Absorb Bulb | Thunderbolt | Hyper Beam | Earth Power | Counter | HP/SpA
457 | Nidoking2 | Quiet | Black Sludge | Amnesia | Sludge Bomb | Flamethrower | Protect | HP/SpA
458 | Cradily2 | Brave | Quick Claw | Confuse Ray | Energy Ball | Stone Edge | Earthquake | HP/Atk/SpA
459 | Armaldo2 | Hasty | Razor Fang | Rock Slide | Earthquake | X-Scissor | Rock Polish | HP/Spd
460 | Rampardos2 | Naughty | Sitrus Berry | Head Smash | Stone Edge | Hammer Arm | Scary Face | Atk/Spd
461 | Bastiodon2 | Bold | Chesto Berry | Round | Rest | AncientPower | Iron Defense | Def/SpA
462 | Floatzel2 | Hasty | Flame Orb | Aqua Jet | Switcheroo | Pursuit | Crunch | Atk/Spd
463 | Mismagius2 | Timid | Kasib Berry | Shadow Ball | Wonder Room | Grudge | Pain Split | HP/SpD
464 | Carracosta2 | Rash | Wide Lens | Rock Slide | Swagger | Blizzard | Hydro Pump | HP/SpA
465 | Escavalier2 | Naughty | Quick Claw | Pursuit | Counter | X-Scissor | Swords Dance | HP/Atk
466 | Accelgor2 | Modest | Weakness Policy | Energy Ball | Sludge Bomb | Bug Buzz | Endure | Spd/SpA
467 | Zebstrika2 | Timid | Magnet | Discharge | Thunder Wave | Thunder | Rain Dance | Spd/SpA
468 | Drifblim2 | Mild | Wide Lens | Hex | Thunderbolt | Dream Eater | Hypnosis | Spd/SpA
469 | Seismitoad2 | Brave | Iron Ball | Fling | Rock Slide | Poison Jab | Earthquake | Atk/SpD
470 | Poliwrath2 | Naive | Shell Bell | Brick Break | Waterfall | Hypnosis | Belly Drum | HP/Atk
471 | Rapidash2 | Hasty | Heat Rock | Will-O-Wisp | Fire Blast | SolarBeam | Sunny Day | Spd/SpA
472 | Muk2 | Lonely | Toxic Plate | Shadow Sneak | Poison Jab | Acid Armor | Flamethrower | Atk/SpA/SpD
473 | Gengar2 | Jolly | Expert Belt | Sucker Punch | Fire Punch | Ice Punch | Will-O-Wisp | Atk/Spd
474 | Ampharos2 | Brave | Lum Berry | Brick Break | ThunderPunch | Screech | Odor Sleuth | HP/Atk/Def
475 | Politoed2 | Quiet | Damp Rock | Rain Dance | Round | Body Slam | Hydro Pump | SpA/SpD
476 | Pinsir2 | Lonely | Insect Plate | Feint | X-Scissor | Stone Edge | Bug Bite | Atk/Spd
477 | Scizor2 | Naughty | Insect Plate | Bullet Punch | X-Scissor | Feint | Agility | HP/Atk
478 | Heracross2 | Naughty | Salac Berry | Megahorn | Dig | Endure | Reversal | HP/Spd
479 | Ursaring2 | Jolly | Toxic Orb | Facade | Hammer Arm | Scary Face | Yawn | Atk/Spd
480 | Houndoom2 | Hasty | Focus Sash | Counter | Flame Charge | Roar | Protect | Atk/Spd
481 | Donphan2 | Adamant | Focus Sash | Endeavor | Flail | Roar | Giga Impact | Atk/SpD
482 | Wailord2 | Timid | Quick Claw | Water Spout | Rest | Sleep Talk | Ice Beam | Spd/SpA
483 | Claydol2 | Impish | Sitrus Berry | Sandstorm | Toxic | Cosmic Power | Explosion | HP/Def
484 | Bronzong2 | Quiet | Damp Rock | Rain Dance | Light Screen | Charge Beam | Grass Knot | HP/SpA
485 | Drapion2 | Naive | Shuca Berry | Cross Poison | Crunch | Scary Face | Screech | Atk/Spd
486 | Luxray2 | Careful | Quick Claw | Charge Beam | Helping Hand | Discharge | Roar | HP/SpD
487 | Ninetales2 | Timid | Safety Goggles | Heat Wave | Roar | Confuse Ray | Nasty Plot | HP/Spd
488 | Machamp2 | Brave | Expert Belt | Ice Punch | Cross Chop | Fire Punch | Focus Energy | HP/Atk
489 | Shuckle2 | Bold | Quick Claw | Power Trick | Encore | Rock Slide | Bug Bite | HP/Def
490 | Roserade2 | Modest | Occa Berry | Weather Ball | Energy Ball | Natural Gift | Attract | Spd/SpA
491 | Honchkrow2 | Brave | BlackGlasses | Sucker Punch | Taunt | Pursuit | Protect | Atk/SpD
492 | Gigalith2 | Naughty | Hard Stone | Iron Defense | Sandstorm | Lock-On | Rock Blast | HP/Def
493 | Conkeldurr2 | Brave | Iron Ball | Mach Punch | Hammer Arm | Bulk Up | Fling | Atk/SpD
494 | Excadrill2 | Adamant | Chople Berry | Dig | Metal Sound | Metal Claw | Swords Dance | Atk/Def
495 | Krookodile2 | Naughty | Roseli Berry | Smack Down | Earthquake | Pursuit | Embargo | Atk/Def
496 | Steelix2 | Impish | Enigma Berry | Crunch | Curse | Gyro Ball | Screech | HP/Atk
497 | Weavile2 | Jolly | NeverMeltIce | Ice Shard | Ice Punch | Torment | Protect | Atk/Spd
498 | Gliscor2 | Impish | Liechi Berry | Agility | Acrobatics | Swords Dance | Baton Pass | HP/Def
499 | Zoroark2 | Jolly | Expert Belt | Grass Knot | Shadow Ball | Flamethrower | Nasty Plot | Spd/SpA
500 | Mandibuzz2 | Mild | Roseli Berry | Dark Pulse | Air Slash | Shadow Ball | Nasty Plot | Spd/SpA
501 | Braviary2 | Naughty | Persim Berry | Thrash | Bulk Up | Superpower | Pluck | Atk/Spd
502 | Tentacruel2 | Hasty | Mystic Water | Rapid Spin | Poison Jab | Waterfall | Swords Dance | Atk/Spd
503 | Aerodactyl2 | Naive | Passho Berry | Crunch | Rock Slide | Roost | Sky Drop | Atk/Spd
504 | Porygon22 | Calm | Petaya Berry | Tri Attack | Psychic | Recycle | Recover | HP/Def/SpD
505 | Lickilicky2 | Adamant | Chople Berry | Gyro Ball | Rest | Curse | Sleep Talk | HP/Atk/Def/SpD
506 | Yanmega2 | Modest | Sitrus Berry | Psychic | Bug Buzz | Swagger | Substitute | HP/SpA
507 | Gardevoir2 | Timid | BrightPowder | Stored Power | Thunderbolt | Calm Mind | Double Team | Spd/SpA
508 | Gallade2 | Jolly | Scope Lens | Psycho Cut | Leaf Blade | Slash | Protect | Atk/Spd
509 | Exeggutor2 | Brave | Sitrus Berry | Wood Hammer | Curse | Egg Bomb | Synthesis | Atk/SpD
510 | Starmie2 | Modest | Mystic Water | Protect | Psychic | Hydro Pump | Rapid Spin | Spd/SpA
511 | Flygon2 | Naive | Haban Berry | Swagger | Quick Attack | Rock Slide | U-turn | Atk/Spd
512 | Klinklang2 | Mild | White Herb | Charge Beam | Metal Sound | Flash Cannon | Autotomize | Spd/SpA
513 | Chandelure2 | Timid | Chesto Berry | Energy Ball | Rest | Heat Wave | Will-O-Wisp | HP/Spd
514 | Vaporeon2 | Modest | Leftovers | Ice Beam | Hydro Pump | Acid Armor | Aqua Ring | Def/SpA
515 | Jolteon2 | Timid | Damp Rock | Thunder | Protect | Charm | Rain Dance | Spd/SpA
516 | Flareon2 | Impish | Charcoal | Will-O-Wisp | Charm | Flame Charge | Protect | HP/Def
517 | Espeon2 | Timid | Kasib Berry | Psyshock | Grass Knot | Telekinesis | Charm | HP/Spd
518 | Umbreon2 | Careful | Chople Berry | Payback | Moonlight | Stored Power | Work Up | HP/Atk
519 | Leafeon2 | Naive | Liechi Berry | Leaf Blade | Giga Impact | Substitute | Yawn | Atk/Spd
520 | Glaceon2 | Bold | Chesto Berry | Frost Breath | Shadow Ball | Rest | Barrier | HP/Def
521 | Lucario2 | Jolly | Focus Sash | Close Combat | Hone Claws | Endure | Reversal | Atk/Spd
522 | Hippowdon2 | Lonely | Sitrus Berry | Crunch | Rock Slide | Protect | Curse | HP/Atk
523 | Probopass2 | Bold | Sitrus Berry | Block | Iron Defense | Flash Cannon | Discharge | HP/Def
524 | Dusknoir2 | Brave | Iron Ball | Shadow Sneak | Fire Punch | Fling | Trick Room | HP/Atk
525 | Mienshao2 | Jolly | Kings Rock | Fake Out | Fling | Acrobatics | Hi Jump Kick | Atk/Spd
526 | Beartic2 | Rash | Lax Incense | Hail | Icy Wind | Grass Knot | Blizzard | HP/SpA
527 | Bouffalant2 | Brave | Chople Berry | Pursuit | Revenge | Retaliate | Swagger | HP/Atk
528 | Aggron2 | Quiet | Kings Rock | Surf | Flash Cannon | Focus Blast | Round | Def/SpA
529 | Walrein2 | Calm | Metronome | Ice Ball | Earthquake | Encore | Curse | Atk/SpD
530 | Mamoswine2 | Brave | Zoom Lens | Stone Edge | Bulldoze | Blizzard | Ice Fang | Atk/Def/SpD
531 | Lapras2 | Modest | Mystic Water | Surf | Ice Beam | Rest | Sleep Talk | Def/SpA/SpD
532 | Crobat2 | Timid | Sharp Beak | Air Slash | Shadow Ball | Confuse Ray | Nasty Plot | Spd/SpA
533 | Magnezone2 | Quiet | Shuca Berry | Charge Beam | Thunder Wave | Flash Cannon | Mirror Coat | HP/SpA
534 | Rhyperior2 | Lonely | Hard Stone | Rock Wrecker | Rock Polish |  |  | Atk/Spd
535 | Tangrowth2 | Naughty | Yache Berry | Wring Out | Tickle | Power Whip | Bulldoze | Atk/Spd
536 | Porygon-z2 | Modest | Choice Specs | Hyper Beam |  |  |  | Spd/SpA
537 | Vanilluxe2 | Lonely | Occa Berry | Avalanche | Ice Shard | Natural Gift | Giga Impact | HP/Atk
538 | Eelektross2 | Naughty | Expert Belt | Crunch | Wild Charge | Brick Break | Coil | HP/Atk
539 | Gyarados2 | Naughty | Chesto Berry | Waterfall | Rest | Bulldoze | Giga Impact | Atk/Spd
540 | Snorlax2 | Brave | Sitrus Berry | Return | Protect | Crunch | Belly Drum | Atk/Def
541 | Kingdra2 | Mild | Haban Berry | Dragon Pulse | Waterfall | Ice Beam | Dragon Dance | HP/Atk/SpA
542 | Blissey2 | Modest | Custap Berry | Charge Beam | Shadow Ball | Grass Knot | Thunder Wave | Def/SpA
543 | Milotic2 | Quiet | Leftovers | Hydro Pump | Toxic | Attract | Aqua Ring | HP/Def
544 | Electivire2 | Adamant | Shuca Berry | Fire Punch | Electro Ball | Ice Punch | Protect | HP/Atk/Spd
545 | Magmortar2 | Modest | Wide Lens | Fire Blast | Flame Burst | Focus Blast | Taunt | Spd/SpA
546 | Haxorus2 | Naughty | Persim Berry | Outrage | Rock Slide | Counter | Dragon Dance | HP/Def/Spd
547 | Togekiss2 | Brave | Liechi Berry | ExtremeSpeed | Aerial Ace | Steel Wing | Brick Break | HP/Atk
548 | Volcarona2 | Timid | Lum Berry | Bug Buzz | Flamethrower | Protect | Calm Mind | Spd/SpA
549 | Arcanine2 | Naughty | Weakness Policy | ExtremeSpeed | Crunch | Overheat | Roar | Atk/Spd
550 | Archeops2 | Mild | Enigma Berry | Earthquake | Earth Power | Endeavor | AncientPower | Spd/SpA
551 | Dragonite2 | Mild | Salac Berry | Dragon Pulse | Ice Beam | Thunderbolt | Safeguard | Spd/SpA
552 | Tyranitar2 | Hasty | Kings Rock | Rock Slide | Crunch | Ice Beam | Dragon Dance | Atk/Spd
553 | Salamence2 | Lonely | Expert Belt | Dragon Claw | Zen Headbutt | Rock Slide | Dragon Dance | Atk/Spd/SpD
554 | Metagross2 | Quiet | Occa Berry | Psychic | Shadow Ball | Meteor Mash | Magnet Rise | HP/Atk/SpA
555 | Garchomp2 | Hasty | Snowball | Fire Blast | Earth Power | Surf | Sandstorm | Spd/SpA
556 | Hydreigon2 | Mild | Wide Lens | Focus Blast | Fire Blast | Dragon Rush | Work Up | Atk/Spd/SpA
557 | Slaking2 | Jolly | Kee Berry | Retaliate | Night Slash | Slack Off | Amnesia | Atk/Spd
558 | Venusaur3 | Timid | Salac Berry | Energy Ball | Sludge Bomb | Grass Knot | Protect | Spd/SpA
559 | Charizard3 | Mild | Choice Scarf | Heat Wave | Rock Slide | Air Slash | Crunch | Atk/Spd/SpA
560 | Blastoise3 | Adamant | Leftovers | Fake Out | Earthquake | Aqua Tail | Avalanche | HP/Atk
561 | Meganium3 | Adamant | Light Clay | Seed Bomb | Earthquake | Reflect | Light Screen | HP/Atk
562 | Typhlosion3 | Modest | Choice Scarf | Eruption | Focus Blast | Heat Wave | Extrasensory | Spd/SpA
563 | Feraligatr3 | Adamant | Lum Berry | Aqua Jet | Waterfall | Earthquake | Ice Punch | HP/Atk
564 | Sceptile3 | Timid | White Herb | Leaf Storm | Dragon Pulse | Energy Ball | Detect | Spd/SpA
565 | Blaziken3 | Hardy | Choice Band | Flare Blitz | Shadow Claw | ThunderPunch | Earthquake | Atk/Spd
566 | Swampert3 | Adamant | Maranga Berry | Earthquake | Avalanche | Waterfall | Stone Edge | HP/Atk
567 | Torterra3 | Adamant | Custap Berry | Earthquake | Crunch | Seed Bomb | Iron Head | Atk/SpD
568 | Infernape3 | Hasty | Life Orb | Fake Out | Close Combat | Overheat | Stone Edge | Atk/Spd
569 | Empoleon3 | Quiet | Lum Berry | Surf | Ice Beam | Signal Beam | Icy Wind | HP/SpA
570 | Serperior3 | Calm | BrightPowder | Leaf Storm | Substitute | Hyper Beam | Toxic | HP/Def/SpD
571 | Emboar3 | Adamant | Quick Claw | Flare Blitz | Brick Break | Flame Charge | Earthquake | Atk/Def/SpD
572 | Samurott3 | Adamant | Custap Berry | Aerial Ace | Waterfall | X-Scissor | Aqua Jet | Atk/Def/SpD
573 | Dugtrio3 | Jolly | Choice Band | Earthquake | Rock Slide | Reversal | Aerial Ace | Atk/Spd
574 | Marowak3 | Jolly | Thick Club | Earthquake | Stone Edge | Low Kick | Fire Punch | Atk/Spd
575 | Medicham3 | Jolly | Expert Belt | Hi Jump Kick | Zen Headbutt | Ice Punch | Bullet Punch | Atk/Spd
576 | Quagsire3 | Adamant | Rindo Berry | Earthquake | Aqua Tail | Ice Punch | Stone Edge | Atk/SpD
577 | Granbull3 | Adamant | Sitrus Berry | Double-Edge | Earthquake | Wild Charge | Outrage | Atk/Spd
578 | Jynx3 | Modest | Expert Belt | Icy Wind | Blizzard | Psychic | Focus Blast | Spd/SpA
579 | Mr. Mime3 | Bold | Light Clay | Light Screen | Psychic | Reflect | Dazzling Gleam | HP/Def
580 | Lanturn3 | Modest | Petaya Berry | Surf | Discharge | Thunder Wave | Ice Beam | Def/SpA/SpD
581 | Breloom3 | Jolly | Focus Sash | Spore | Focus Punch | Rock Slide | Seed Bomb | Atk/Spd
582 | Forretress3 | Brave | Iron Ball | Gyro Ball | Earthquake | Bug Bite | Explosion | HP/Atk
583 | Skarmory3 | Jolly | Choice Scarf | Brave Bird | Steel Wing | Night Slash | Rock Slide | Atk/Spd
584 | Absol3 | Jolly | Scope Lens | Night Slash | Zen Headbutt | Sucker Punch | Superpower | Atk/Spd
585 | Whiscash3 | Modest | Expert Belt | Earth Power | Surf | Blizzard | Protect | SpA/SpD
586 | Hariyama3 | Brave | Flame Orb | Fake Out | Close Combat | Detect | Earthquake | Atk/Def
587 | Vespiquen3 | Impish | Sitrus Berry | Attack Order | Defend Order | Roost | Confuse Ray | HP/Def/SpD
588 | Raichu3 | Jolly | Focus Sash | ThunderPunch | Reversal | Thunder Wave | Fake Out | Atk/Spd
589 | Dewgong3 | Mild | Quick Claw | Fake Out | Surf | Ice Beam | Aqua Jet | SpA/SpD
590 | Manectric3 | Timid | Air Balloon | Thunderbolt | Overheat | Volt Switch | Quick Attack | Spd/SpA
591 | Staraptor3 | Mild | Choice Band | Close Combat | Brave Bird | U-turn | Giga Impact | Atk/Spd
592 | Gastrodon3 | Quiet | Leftovers | Sandstorm | Earth Power | Surf | Recover | Def/SpA
593 | Skuntank3 | Jolly | Life Orb | Taunt | Sucker Punch | Foul Play | Poison Jab | Atk/Spd
594 | Sawk3 | Jolly | Expert Belt | Close Combat | Payback | Low Sweep | Earthquake | Atk/Spd
595 | Throh3 | Adamant | Expert Belt | Earthquake | Storm Throw | Payback | Rock Slide | Atk/Def/SpD
596 | Unfezant3 | Jolly | Power Herb | Sky Attack | Return | Detect | U-turn | Atk/Spd
597 | Vileplume3 | Modest | Big Root | Double Team | Ingrain | Toxic | Giga Drain | HP/SpA
598 | Victreebel3 | Modest | Focus Sash | Sunny Day | SolarBeam | Sludge Bomb | Weather Ball | Spd/SpA
599 | Electrode3 | Timid | Air Balloon | Thunderbolt | Mirror Coat | Signal Beam | Protect | Spd/SpA
600 | Ludicolo3 | Bold | Leftovers | Rain Dance | Leech Seed | Protect | Giga Drain | Def/SpA/SpD
601 | Shiftry3 | Hardy | Heat Rock | Sunny Day | SolarBeam | Dark Pulse | Explosion | Def/SpA
602 | Exploud3 | Adamant | Expert Belt | Earthquake | Brick Break | Ice Punch | Crunch | Atk/Def
603 | Lopunny3 | Jolly | Chople Berry | Encore | Fake Out | Focus Punch | Mirror Coat | HP/Spd
604 | Froslass3 | Timid | Icy Rock | Hail | Blizzard | Ice Shard | Shadow Ball | Spd/SpA
605 | Lilligant3 | Bold | Leftovers | Quiver Dance | Energy Ball | Leech Seed | Protect | HP/Def
606 | Darmanitan3 | Sassy | Assault Vest | Psychic | Earthquake | Flare Blitz | Overheat | Def/SpD
607 | Ambipom3 | Jolly | Life Orb | Fake Out | Double Hit | Payback | Brick Break | Atk/Spd
608 | Cofagrigus3 | Quiet | Maranga Berry | Will-O-Wisp | Shadow Ball | Destiny Bond | Trick Room | HP/SpA
609 | Golurk3 | Adamant | Lum Berry | DynamicPunch | Shadow Punch | Earthquake | Rock Slide | HP/Atk
610 | Durant3 | Jolly | Occa Berry | X-Scissor | Iron Head | Rock Slide | Shadow Claw | Atk/Spd
611 | Golem3 | Jolly | Focus Sash | Rock Slide | Earthquake | Explosion | Autotomize | Atk/Spd
612 | Slowbro3 | Bold | Leftovers | Psychic | Surf | Slack Off | Amnesia | HP/Def
613 | Weezing3 | Modest | Black Sludge | Sludge Bomb | Thunder | Fire Blast | Shadow Ball | HP/SpA
614 | Kangaskhan3 | Jolly | Chople Berry | Fake Out | Double-Edge | Circle Throw | Sucker Punch | Atk/Spd
615 | Tauros3 | Jolly | Life Orb | Double-Edge | Earthquake | Payback | Giga Impact | Atk/Spd
616 | Spiritomb3 | Careful | Leftovers | Will-O-Wisp | Shadow Sneak | Swagger | Psych Up | HP/SpD
617 | Cryogonal3 | Timid | Occa Berry | Icy Wind | Flash Cannon | Blizzard | Sheer Cold | Spd/SpA
618 | Druddigon3 | Adamant | Quick Claw | Crunch | Dragon Claw | Earthquake | Rock Slide | HP/Atk
619 | Musharna3 | Modest | Scope Lens | Psychic | Shadow Ball | Energy Ball | Yawn | Def/SpA
